"Not if it were my own brother!" cried d’Artagnan, as if carried away by his enthusiasm.	«Non, fût-ce mon frère!» s'écria d'Artagnan comme emporté par l'enthousiasme.
A little girl mounted on an old white mare had won the prize.	Une petite fille sur une vieille jument blanche avait remporté la victoire.
Champion Harrison nodded.	Le champion Harrison affirma d'un signe de tête.
And, as it happened, I was very soon to have another peep at it, for a most unexpected event befell us as we drew up in front of the Crown hotel.	Et le hasard voulut que je fusse à très peu de temps de là, dans le cas d'y jeter un regard furtif, car un événement fort inattendu nous arriva au moment où nous passions devant l'Hôtel de la Couronne.
Then, when they were in the shadow of the pit-bank, he asked if she had any money.	Puis, lorsqu'ils furent dans l'ombre du terri, il voulut savoir si elle avait de l'argent.
He was a man of about thirty, vigorous, active, clever, intelligent, gentle, and calm, sometimes naive, always merry, obliging, and honest.	C'était un garçon de trente ans, vigoureux, agile, adroit, intelligent, doux et calme, parfois naïf, toujours souriant, serviable et bon.
"What, you talk of debaucheries, Madame Messalina, Lady Macbeth!	-- Hein! vous parlez de débauches, madame Messaline, vous parlez de crimes, Lady Macbeth!
In the period of his blindness, this class was one of those in which Julien most regularly came out at the top.	Dans le temps de son aveuglement, ce cours était un de ceux où Julien se trouvait le plus habituellement le premier.
"Alas! this desperate resistance could not last long. I felt my strength fail, and this time it was not my sleep that enabled the coward to prevail, but my swoon."	«Hélas! cette résistance désespérée ne pouvait durer longtemps, je sentis mes forces qui s'épuisaient, et cette fois ce ne fut pas de mon sommeil que le lâche profita, ce fut de mon évanouissement.»
Then, the window closed with a sharp clang.	La fenêtre se ferma avec un bruit sec.
I sat idle and discouraged on the edge of a big table, one foot on the ground, the other swinging, and I remarked in a dejected way: 'Yes, but coming back, in the berlin, your journey lasted all night.'	J’étais à moitié assis sur le coin d’une grande table, un pied par terre, l’autre ballant, l’air découragé et désœuvré, la tête basse. – Pourtant, dis-je, au retour, dans la berline, ton voyage a duré toute la nuit.
Through the closely fastened windows the prisoner could perceive the houses and the pavement, that was all; but, true Parisian as he was, Bonacieux could recognize every street by the milestones, the signs, and the lamps.	À travers la grille cadenassée, le prisonnier apercevait les maisons et le pavé, voilà tout; mais, en véritable Parisien qu'il était, Bonacieux reconnaissait chaque rue aux bornes, aux enseignes, aux réverbères.
. . . . . . "Now, attention.	.............................
Mr. Bingley had not been of age two years, when he was tempted by an accidental recommendation to look at Netherfield House.	Il y avait a peine deux ans que Mr. Bingley avait atteint sa majorité, lorsque, par un effet du hasard, il avait entendu parler du domaine de Netherfield.
"My Maker and yours, who will never destroy what He created. I rely implicitly on His power, and confide wholly in His goodness: I count the hours till that eventful one arrives which shall restore me to Him, reveal Him to me."	-- Mon créateur et le vôtre; il ne détruira jamais son oeuvre; j'ai foi en son pouvoir et je me confie en sa bonté; je compte les heures jusqu'au moment solennel qui me rendra à lui et qui le révélera à moi.
Then he offered it to his wife.	Puis il l'offrit à sa femme:
The windows were immediately closed, and the poor bourgeois, who had hardly had time to cast a frightened glance on this scene of gleams and tumult, returned, perspiring with fear to their wives, asking themselves whether the witches' sabbath was now being held in the parvis of Notre−Dame, or whether there was an assault of Burgundians, as in '64.	Les fenêtres se refermèrent sur-le-champ, et les pauvres bourgeois, qui avaient à peine eu le temps de jeter un regard effaré sur cette scène de lueurs et de tumultes, s’en revinrent suer de peur près de leurs femmes, se demandant si le sabbat se tenait maintenant dans le Parvis Notre-Dame, ou s’il y avait assaut de Bourguignons comme en 64.
La nuit tombait rapidement et l’obscurité était presque complete lorsqu’il se retrouva dans un défilé qu’il reconnut enfin.	Night was coming on rapidly, and it was almost dark before he at last found himself in a defile which was familiar to him.
Who supplies our wants? Who provides our means of subsistence?	Qui donc pourvoit à nos besoins? qui donc fournit à notre subsistance?
Gringoire enjoyed seeing, feeling, fingering, so to speak an entire assembly (of knaves, it is true, but what matters that ?) stupefied, petrified, and as though asphyxiated in the presence of the incommensurable tirades which welled up every instant from all parts of his bridal song.	Gringoire jouissait de sentir, de voir, de palper pour ainsi dire une assemblée entière, de marauds il est vrai, mais qu’importe, stupéfiée, pétrifiée, et comme asphyxiée devant les incommensurables tirades qui surgissaient à chaque instant de toutes les parties de son épithalame.
Gringoire continued to advance, and had soon joined that one of the forms which dragged along most indolently, behind the others.	Gringoire continua de s’avancer, et eut bientôt rejoint celle de ces larves qui se traînait le plus paresseusement à la suite des autres.
"You had better go to call him, my child; it hurts his feelings if we donot wait for him."	--Tu devrais aller le chercher, mon enfant; ça le blesse quand on nel'attend pas.
As for Elizabeth, her thoughts were at Pemberley this evening more than the last; and the evening, though as it passed it seemed long, was not long enough to determine her feelings towards _one_ in that mansion; and she lay awake two whole hours endeavouring to make them out.	Quant a Elizabeth, ses pensées étaient a Pemberley ce soir-la plus encore que la veille. La fin de la journée lui parut longue mais ne le fut pas encore assez pour lui permettre de déterminer la nature exacte des sentiments qu’elle éprouvait a l’égard d’un des habitants du château, et elle resta éveillée deux bonnes heures, cherchant a voir clair dans son esprit.
"To London."	-- Pour Londres.
You and Cacambo have spent millions of piastres, and yet you are not more happy than Brother Giroflee and Pacquette."	Vous avez regorgé de millions de piastres, vous et Cacambo, et vous n'êtes pas plus heureux que frère Giroflée et Paquette.
Others, dreaming on sofas with an open letter, gazed at the moon through a slightly open window half draped by a black curtain.	D’autres, rêvant sur des sofas près d’un billet décacheté, contemplaient la lune, par la fenêtre entrouverte, à demi drapée d’un rideau noir.
"Once a week Harrison used to bring me up provisions, passing them through the pantry window, which I left open for the purpose.	«Une fois par semaine, Harrison venait m'apporter des provisions qu'il introduisait par la fenêtre de la cuisine que je laissais ouverte dans cette intention.
"Ahhh!" Conseil was putting in.	« Ah ! faisait Conseil, que c'est bon, l'oxygène !
'Of course it is,' said the Duchess, who seemed ready to agree to everything that Alice said; 'there's a large mustard-mine near here. And the moral of that is--"The more there is of mine, the less there is of yours."'	« Assurément, » dit la Duchesse, qui semblait prête à approuver tout ce que disait Alice ; « il y a une bonne mine de moutarde près d’ici ; la morale en est qu’il faut faire bonne mine à tout le monde ! »
As we went along, Kitty and I drew up the blinds, and pretended there was nobody in the coach; and I should have gone so all the way, if Kitty had not been sick; and when we got to the George, I do think we behaved very handsomely, for we treated the other three with the nicest cold luncheon in the world, and if you would have gone, we would have treated you too.	Au départ, nous avions baissé les stores pour faire croire que la voiture était vide et nous les aurions gardés ainsi jusqu’au bout si Kitty n’avait pas eu mal au cour. Au « George », nous avons vraiment bien fait les choses, car nous avons offert aux voyageuses un délicieux lunch froid.
Chapter 3	III
CHAPTER XXV	CHAPITRE XXV
"Hush! hush!" said Emma, pointing with her finger to the druggist.	-- Chut! chut! fit Emma en désignant du doigt l’apothicaire.
The stern abbe Pirard was making faces in a corner of the room, as he heard fresh names announced.	Le sévère abbé Pirard faisait la mine dans un coin du salon, en entendant les laquais annoncer.
One thing alone, however, threw a shade over the pallid brow of Felton.	Une seule chose jetait cependant un nuage sur le front pur de Felton.
I saw my wife go, then my son, and now to-day it's my daughter."	J’ai vu partir ma femme..., mon fils après..., et voilà ma fille, aujourd’hui!
Porthos!	Porthos!
"Here's a trollop who says that my wife sleeps with me and the lodger, one below and the other above!	En voila une salope qui a dit que ma femme couchait avec moi et le logeur, l'un dessous et l'autre dessus!…
"My dear," said Marguerite, sitting down to the piano, "when I put on one side what he gives me and on the other what he says to me, it seems to me that he buys his visits very cheap."	--Ma chère, dit Marguerite en s'asseyant à son piano quand je pèse d'un côté ce qu'il me donne et de l'autre ce qu'il me dit, je trouve que je lui passe ses visites bon marché.
But, dear me, what's this?	Mais mon Dieu, qu’est cela ?
He had, they said, tasted in succession all the apples of the tree of knowledge, and, whether from hunger or disgust, had ended by tasting the forbidden fruit.	Plusieurs personnes graves affirmaient qu’après avoir épuisé le fas du savoir humain, il avait osé pénétrer dans le nefas.
Suddenly my thoughts were interrupted by the sound of running feet behind me and by a voice which called me by name.	Le cours de mes pensées se trouva interrompu par un bruit de pas qui couraient derrière moi ; une voix me héla par mon nom.
How well I knew all these bits of science!	Comme je les connaissais, ces bibelots de la science minéralogique!
Evil is nothing but vanity, let us have the pride of good, and above all let us never despair.	Le mal n'est qu'une vanité, ayons l'orgueil du bien, et surtout ne désespérons pas.
My landlady was mighty glad to see me, and my landlord made such a stir with me, that if I had been a princess I could not have been better used, and here I might have been welcome a month or two if I had thought fit.	Mon hôtesse fut extrêmement heureuse de me voir, et mon hôte fit un tel remue-ménage que si j'eusse été une princesse je n'eusse pu être mieux reçue, et on m'aurait volontiers gardée un mois ou deux si je l'avais cru bon.
"Take all the bread: I have some vermicelli for the children."	—Prenez tout le pain, j'ai un peu de vermicelle pour les enfants!
The taking of the capital of the Confederates must have been the last action of this terrible struggle.	La prise de la capitale des confédérés avait dû être le dernier acte de cette funeste lutte!
She was quite eager already in her search; she caught at the hope ofsome added ease dropping from the sky.	Déjà elle s'animait à cette recherche, elle s'attachait à cetteespérance d'un peu d'aisance leur tombant du ciel.
On the contrary, they were talking, singing, laughing.	Au contraire. On discutait, on chantait, on riait.
As to the wall and buildings of the poultry-yard and the onagers stable, the fire had destroyed all.	Quant au moulin et aux bâtiments de la basse-cour, à l'étable des onaggas, le feu avait tout détruit.
After him his wife pronounced the same words, accompanied with the same ceremonial; then the two placing their hands upon their hearts, inclined profoundly before us.	Sa femme, après lui, prononça les mêmes paroles, accompagnées du même cérémonial; puis les deux époux, plaçant la main droite sur leur coeur, s'inclinèrent profondément.
He was really in a lane which looked like the High Street of La Ferté on the morning of Assumption Day ! . . . Had he noticed at the bend of the drive a crowd of holiday-makers raising up the dust as in the month of June, he could not have been more surprised.	Il se trouvait dans un chemin pareil à la grand’rue de La Ferté, le matin de l’Assomption !… Il eût aperçu au détour de l’allée une troupe de gens en fête soulevant la poussière, comme au mois de juin, qu’il n’eût pas été surpris davantage.
"In Port Balloon," replied the sailor.	-- Au port ballon, répondit le marin.
His unspoken retort was always: 'What monsters!' or 'What fools!'	Sa réplique intérieure était toujours : Quels monstres ou quels sots !
One sees a good many funny incidents up the river in connection with towing.	Il n’est pas rare d’assister, sur la haute Tamise, a de ces incidents désopilants qui ont le halage pour cause.
They redoubled Julien's enchantment.	Ils redoublèrent l’enchantement de Julien.
Hearing that Mr. Phileas Fogg was looking for a servant, and that his life was one of unbroken regularity, that he neither travelled nor stayed from home overnight, he felt sure that this would be the place he was after.	Il prit des renseignements sur ce gentleman. Un personnage dont l'existence était si régulière, qui ne découchait pas, qui ne voyageait pas, qui ne s'absentait jamais, pas même un jour, ne pouvait que lui convenir.
I will think no more about him."	Je ne veux plus penser a lui. »
Quant aux blessures, je m’y connais : je vais vous mettre dans un endroit bien frais où vous pourrez dormir une heure ; la barque viendra nous y chercher s’il y a moyen d’obtenir une barque ; sinon, quand vous serez un peu reposé nous ferons encore deux petites lieues, et je vous mènerai à un moulin où je prendrai moi-même une barque.	As for your wounds, I know what to do; I am going to put you in a cool place where you can sleep for an hour; the boat will come for us there, if there is any way of getting a boat; if not, when you have rested a little, we shall go on two short leagues, and I shall take you to a mill where I shall take a boat myself.
"Ah," said she, "it is amazing!"	--Ah! répondit la grosse fille, c'en est assommant.
I could observe these strange walls quite closely: our sounding lines indicated that they dropped perpendicularly for more than 300 meters, and our electric beams made the bright limestone positively sparkle.	Je pus observer de très près ces curieuses murailles, car, à leur aplomb, la sonde accusait plus de trois cents mètres de profondeur, et nos nappes électriques faisaient étinceler ce brillant calcaire.
Wickham of course wanted more than he could get; but at length was reduced to be reasonable.	Les prétentions de Wickham étaient naturellement exagérées, mais en fin de compte, il fut obligé de se montrer plus raisonnable.
At length Candide broke it by saying: "Gentlemen, this is a very singular joke upon my word; how came you all to be kings?	Enfin Candide le rompit: Messieurs, dit-il, voilà une singulière plaisanterie.
Here is the man who was taken on this morning."	Voici l'homme qu'on a embauché ce matin.
Taking a small, rough stone, he wiped it carefully, and with a beating heart, holding his breath, he gently rubbed the match.	Prenant ensuite un galet légèrement raboteux, il l'essuya avec soin, et, non sans que le coeur lui battît, il frotta doucement l'allumette, en retenant sa respiration.
But this embarrassment would have been nothing if he had known how to pick a quarrel otherwise than by striking a blow; and, if they had come to fisticuffs, his rival, a giant of a man, would have beaten him and left him discomfited.	Mais cet embarras n’eût rien été s’il eût su comment se fâcher autrement qu’en donnant un soufflet ; et, si l’on en venait aux coups de poings, son rival, homme énorme, l’eût battu et puis planté là.
"You are welcome, monsieur," said Milady, in a voice whose singular sweetness contrasted with the symptoms of ill-humor which d’Artagnan had just remarked; "you have today acquired eternal rights to my gratitude."	«Soyez le bienvenu, monsieur, dit Milady d'une voix dont la douceur singulière contrastait avec les symptômes de mauvaise humeur que venait de remarquer d'Artagnan, vous avez acquis aujourd'hui des droits éternels à ma reconnaissance.»
I rested me a little and went on; my blood was all in a fire; my heart beat as if I was in a sudden fright. In short, I was under such a surprise that I still knew not wither I was going, or what to do.	Je me reposai un peu et puis continuai ma route; mon sang était tout en un feu, mon coeur battait comme si je fusse en une frayeur soudaine; en somme j'étais sous une telle surprise que je ne savais ni où j'allais ni quoi faire.
All hunchbacks walk with their heads held high, all stutterers harangue, all deaf people speak low.	Tous les bossus vont tête haute, tous les bègues pérorent, tous les sourds parlent bas.
"Hark ye, friend," said the orator, "do you hold the Pope to be Antichrist?"	Mon ami, lui dit l'orateur, croyez-vous que le pape soit l'antechrist?
There were the means of washing in the room, and a comb and brush to smooth my hair.	Il y avait dans la chambre de quoi me laver et une brosse et un peigne pour arranger mes cheveux.
Pierron, in fact, was furiously defending his wife.	En effet, Pierron s'emportait, défendait sa femme.
Until ten o'clock they remained face to face with one another, talking of commonplace matters, but still understanding each other, and mutually imploring themselves with their eyes, to hasten the moment when they could unite against the drowned man.	Ils restèrent en face l'un de l'autre jusqu'à dix heures, parlant de banalités, se comprenant, se conjurant tous deux du regard de hâter le moment où ils pourraient s'unir contre le noyé.
Then he inspected them with alofty air, measuring the height of the rooms, sketching the plan in hisnote-book, with the passages, the arrangement of the exits, explainingthat he was a medical man and had many visitors.	Alors il visitait avecdes façons hautaines, mesurait la hauteur des plafonds, dessinait surson calepin le plan du logis, les communications, la disposition desissues, annonçait qu'il était médecin et qu'il recevait beaucoup.
I'll let the reader decide whether eyes got proper exercise aboard the Abraham Lincoln.	Je laisse à penser si les yeux s'exerçaient à bord de l'_Abraham-Lincoln_.
He mused--for ten minutes he held counsel with himself: he formed his resolve, and announced it-- "Enough! all shall bolt out at once, like the bullet from the barrel.	Il s'arrêta pendant une dizaine de minutes, sembla se consulter, prit enfin son parti et dit: «En voilà assez; la vérité va paraître au jour comme le boulet qui sort du canon.
Was it not a cry of famine that the March wind rolled up across this naked plain?	N'était-ce pas un cri de famine que roulait le vent de mars, au travers de cette campagne nue?
_Dared not_! She, Mathilde!	Elle n’osa ! elle, Mathilde !
"Well," said she, returning the knife to the young officer, "this is fine and good steel. You are a faithful friend, Felton."	«Bien, dit-elle en rendant le couteau au jeune officier, celui-ci est en bel et bon acier; vous êtes un fidèle ami, Felton.»
"Look, father, you have blood on your fingers!"	« Regardez donc, mon père ! vous avez du sang après les ongles ! »
And Claude was weary of all this.	Et Claude était las de tout cela.
Saint−Louis of France, my master, transgressed, with the same object, the church of Monsieur Saint−Paul; and Monsieur Alphonse, son of the king of Jerusalem, the very church of the Holy Sepulchre.	Saint Louis de France, mon maître, a transgressé pour le même objet l’église de monsieur saint Paul ; et monsieur Alphonse, fils du roi de Jérusalem, l’église même du Saint-Sépulcre.
So much so that he became moody and cross if he heard an event of any importance set down to a simple and quite natural cause.	C’était au point qu’il s’attristait et prenait de l’humeur, s’il voyait attribuer un événement un peu important à une cause simple et toute naturelle.
Had this vile charge been brought against me, you, my dearest friend, would have been compelled to tear away the last doubt as to my guilt.	Si cette accusation méprisable avait été proférée contre moi, vous, mon ami le plus cher, vous auriez été contraint de chasser tous les doutes qui vous restaient encore sur ma culpabilité.
Cyrus Harding and Neb were taken into confidence, and the sailor suspected nothing during the whole time, necessarily somewhat long, which was required in order to dry the small leaves, chop them up, and subject them to a certain torrefaction on hot stones.	Cyrus Smith et Nab furent mis dans la confidence, et le marin ne se douta de rien, pendant tout le temps, assez long, qui fut nécessaire pour sécher les feuilles minces, les hacher, les soumettre à une certaine torréfaction sur des pierres chaudes.
By what instinct do you pretend to distinguish between a fallen seraph of the abyss and a messenger from the eternal throne--between a guide and a seducer?"	Par quel instinct prétendez- vous distinguer le séraphin déchu du messager de l'Éternel; le guide, du séducteur?
"My friend," said Prudence, "you are under the influence of a woman who has neither heart nor sense; you are in love with her, it is true, but that is not a reason for torturing a woman who can not defend herself."	--Mon ami, me fit Prudence, vous subissez l'influence d'une fille sans cœur et sans esprit; vous en êtes amoureux, il est vrai, mais ce n'est pas une raison pour torturer une femme qui ne peut se défendre.
Maheude thought of the old man's forty sous, which he would, perhaps, never bring in any more. and she uttered a cry of anguish:	La Maheude songeait aux quarante sous du vieux, qu'il ne lui rapporterait peut-etre jamais plus, et elle eut un cri d'angoisse.
On arriving in the lofty bell chamber, Quasimodo gazed for some time at the six bells and shook his head sadly, as though groaning over some foreign element which had interposed itself in his heart between them and him.	Parvenu dans la haute cage de la sonnerie, Quasimodo considéra quelque temps avec un triste hochement de tête les six campaniles, comme s’il gémissait de quelque chose d’étranger qui s’était interposé dans son cœur entre elles et lui.
"A little lecture on morality, of which I stand greatly in need," Jehan did not dare to add aloud,−−"and a little money of which I am in still greater need."	– Un peu de morale dont j’ai grand besoin. » Jehan n’osa ajouter tout haut : « Et un peu d’argent dont j’ai plus grand besoin encore. »
There was even great difficulty in keeping the balloon fastened to the ground, as the squalls dashed it furiously about.	On éprouvait même de grandes difficultés pour préserver le ballon, attaché au sol, que les rafales couchaient jusqu'à terre.
His heavily thatched eyebrows covered quick, furtive grey eyes, and his gaunt features were hollowed at the cheek and temple like water-grooved flint.	Sous ses sourcils touffus, pétillaient deux yeux, vifs, gris, fureteurs. Ses traits grossiers étaient profondément creusés aux joues et aux tempes comme du silex rongé par l'eau.
Elizabeth could hardly help smiling as she assured her that had not been the case.	Elizabeth ne put s’empecher de sourire et affirma qu’il n’en avait rien été.
"Can such abominable pride as his have ever done him good?"	– Pensez-vous qu’un orgueil aussi détestable puisse jamais le porter a bien agir ?
There is a great red lion whom I love for his pleasant ways. Have you seen him, Master Guillaume?	Il y a un grand lion roux que j’aime pour ses gentillesses. – L’avez-vous vu, maître Guillaume ? – Il faut que les princes aient de ces animaux mirifiques.
I remember the awe with which one day in Thomas Street, Portsmouth, I saw a print of the great Corsican in a bookseller's window.	Je me rappelle avec quelle frayeur respectueuse je regardai à la boutique d'un libraire de Portsmouth la figure du Grand Corse.
Could they enter any of its doors while the whole party of Indians was plunged in a drunken sleep, or was it safer to attempt to make a hole in the walls?	Pourrait-on y pénétrer par une des portes, quand toute la bande serait plongée dans le sommeil de l'ivresse, ou faudrait-il pratiquer un trou dans une muraille ?
"Oh, professor, it won't get any hotter unless we want it to!"	-- Oh ! monsieur le professeur, cette chaleur n'augmentera que si nous le voulons bien.
I've had sixty from him since, but he could never approach it.	Weston m'en a fait soixante depuis cette époque et pas un qui en approchât.
I could not forget your conduct to me, Jane--the fury with which you once turned on me; the tone in which you declared you abhorred me the worst of anybody in the world; the unchildlike look and voice with which you affirmed that the very thought of me made you sick, and asserted that I had treated you with miserable cruelty. I could not forget my own sensations when you thus started up and poured out the venom of your mind: I felt fear as if an animal that I had struck or pushed had looked up at me with human eyes and cursed me in a man's voice.--Bring me some water!	-- Parce que je vous détestais trop profondément pour prêter la main à votre élévation et à votre prospérité; je ne pouvais pas oublier votre conduite à mon égard, Jane, la fureur avec laquelle vous vous êtes une fois tournée contre moi, le ton avec lequel vous m'aviez déclaré que vous me détestiez plus que personne au monde, votre regard qui n'avait rien d'un enfant, votre voix lorsque vous avez assuré que ma pensée seule vous rendait malade, et que je vous ai traitée avec cruauté; je ne pouvais pas oublier mes propres sensations, lorsque vous vous étiez levée et que vous aviez jeté sur moi le venin de votre esprit; j'étais aussi effrayée alors que si un animal poussé ou frappé par moi se fût mis à me regarder avec les yeux d'un homme, et m'eut maudite avec une voix humaine.
Who thought of it first, eh?"	Qui est-ce qui a eu l'idée, voyons!
"Is there any drinkable wine in your tavern?" asked Athos.	-- Est-ce qu'il y a du vin potable dans votre bicoque? demanda Athos.
– Je ne vous reprocherai point d’avoir omis les mots “injuste procédure” dans le billet que vous écrivîtes et qu’il signa, c’était l’instinct de courtisan qui vous prenait à la gorge ; sans vous en douter, vous préfériez l’intérêt de votre maître à celui de votre amie. Vous avez mis vos actions à mes ordres, cher comte, et cela depuis longtemps, mais il n’est pas en votre pouvoir de changer votre nature ; vous avez de grands talents pour être ministre, mais vous avez aussi l’instinct de ce métier.	"I shall not reproach you in the least for having omitted the words unjust proceedings in the letter which you wrote and he signed, it was the courtier's instinct that gripped you by the throat; unconsciously you preferred your master's interest to your friend's. You have placed your actions under my orders, dear Conte, and that for a long time past, but it is not in your power to change your nature; you have great talents for the part of Minister, but you have also the instinct of their trade.
But they are not ornamental.	Mais ils ne sont pas décoratifs.
Lydia came to us; and Wickham had constant admission to the house. _He_ was exactly what he had been, when I knew him in Hertfordshire; but I would not tell you how little I was satisfied with her behaviour while she staid with us, if I had not perceived, by Jane's letter last Wednesday, that her conduct on coming home was exactly of a piece with it, and therefore what I now tell you can give you no fresh pain.	Lydia vint aussitôt s’installer ici et Wickham y fut reçu journellement. Il s’est montré tel que je l’avais connu en Hertfordshire ; quant a Lydia, je ne vous dirai pas combien j’ai été peu satisfaite de son attitude pendant son séjour aupres de nous, si la derniere lettre de Jane ne m’avait appris que sa conduite est aussi déraisonnable chez son pere que chez moi.
Over all this immense space the ocean alone was visible--the island occupied the center of a circumference which appeared to be infinite.	Toute cette immensité était déserte, et l'île occupait le centre d'une circonférence qui semblait être infinie.
And now, whence had this chest come?	Et maintenant, d'où venait cette épave?
'One of these days I shall procure a letter from the Minister to the Bishop,' said the Marquis.	– Je prendrai un de ces jours une lettre du ministre à l’évêque, dit le marquis.
For an hour he went on thus, when on the left, two kilometres from Montsou, he saw red flames, three fires burning in the open air and apparently suspended.	Depuis une heure, il avançait ainsi, lorsque sur la gauche, a deux kilometres de Montsou, il aperçut des feux rouges, trois brasiers brulant au plein air, et comme suspendus.
"I have never heard him say so; but it is probable that he may spend very little of his time there in the future.	– Je ne le lui ai jamais entendu dire. Je ne serais pas étonné, cependant, qu’il y passe peu de temps a l’avenir.
'Yes!' he replied, with animation.	– Oui, répondit-il avec animation.
"Yes, my friend," I answered, "it was an electric ray that put you in this deplorable state."	-- Oui, mon ami, répondis-je, c'est une torpille qui t'a mis dans ce déplorable état.
In vain did M. de Renal point out to him the imprudence of this action.	En vain, M. de Rênal lui représentait qu’il y aurait imprudence.
Upon these views I began to consider about putting the few rags I had, which I called clothes, into some order; I had worn out all the waistcoats I had, and my business was now to try if I could not make jackets out of the great watch-coats which I had by me, and with such other materials as I had; so I set to work, tailoring, or rather, indeed, botching, for I made most piteous work of it.	À ces fins je commençai de songer à mettre un peu d'ordre dans les quelques haillons que j'appelais des vêtements. J'avais usé toutes mes vestes: il me fallait alors essayer à me fabriquer des jaquettes avec de grandes houppelandes et les autres effets semblables que je pouvais avoir.
My uncle, notwithstanding his hurry, had so well calculated the relations between the train and the steamer that we had a whole day to spare.	Mon oncle, dans sa précipitation, avait si bien calculé les heures de correspondance du chemin de fer et du bateau, qu'il nous restait une journée entière à perdre.
Then the French guns had been too many and too good for ours, and our heavy horse had been cut to bits, so that things were none too merry with us.	Puis, les canons français avaient été bien supérieurs aux nôtres par le tir et le nombre; notre grosse cavalerie avait été hachée même, si bien que les affaires ne prenaient pas une tournure fort gaie pour nous.
Once taken, they will be pressed; when pressed, they will confess everything.	Une fois pris, on les serrera; serrés, ils avoueront.
"I think not, sir."	-- Je ne pense pas, monsieur.
A canvas was purchased, minute preparations made, and the artist at last took the work in hand in the room occupied by the married couple, where Laurent said the light was the best.	On acheta une toile, on fit des préparatifs minutieux. Enfin l'artiste se mit à l'oeuvre dans la chambre même des époux; le jour, disait-il, y était plus clair.
And thenPierre, with the pertinacity of a dog seeking a lost scent, tried torecall the words, gestures, tones, looks, of this man who had vanishedfrom the world.	Et Pierre, avec une ténacité de chien qui suit une piste évaporée, semit à rechercher les paroles, les gestes, les intonations, les regardsde cet homme disparu de la terre.
It most resembled the mane of the primitive elephant. In his hand he wielded with ease an enormous bough, a staff worthy of this shepherd of the geologic period.	Il brandissait de la main une branche énorme, digne houlette de ce berger antédiluvien.
He felt as if the island which he had made his own personal property belonged to him entirely no longer, and that he shared it with another master, to whom, willing or not, he felt subject.	Cette île dont il faisait sa propriété personnelle, il lui sembla qu'elle ne lui appartenait plus tout entière et qu'il la partageait avec un autre maître, auquel, bon gré, mal gré, il se sentait soumis.
Towards the beginning of the last century, there had been a mad search for coal between Lille and Valenciennes.	Vers le commencement du dernier siecle, un coup de folie s'était déclaré, de Lille a Valenciennes, pour la recherche de la houille.
So they went up to the Mock Turtle, who looked at them with large eyes full of tears, but said nothing.	Ainsi ils s’approchèrent de la Fausse-Tortue, qui les regarda avec de grands yeux pleins de larmes, mais ne dit rien.
Gideon Spilett first recognized this on the 6th of December.	Gédéon Spilett le reconnut le 6 décembre.
Tell me what you feel."	Mais qu'y a-t-il donc? dites-moi ce que vous éprouvez.
"But Neb?" repeated the engineer.	-- Mais Nab? répétait l'ingénieur.
Avez-vous fini par découvrir le secrétaire, M. Joseph Stangerson ?	Have you managed to find the Secretary, Mr. Joseph Stangerson?"
The grandfather preserved his immobility, like an old tree twisted by the rain and wind; while the father continued walking between the fireplace and the cupboard, without turning his head.	Le grand-pere gardait son immobilité de vieil arbre tordu sous la pluie et le vent, tandis que le pere marchait de la cheminée au buffet, sans tourner la tete.
Our climb continued.	Notre ascension continua.
But do not go and write a single page in French, especially upon grave subjects, that are above your position in society; he would call you a scribbler, and would take a dislike to you.	Mais n’allez pas écrire une page en français, et surtout sur des matières graves et au-dessus de votre position dans le monde, il vous appellerait écrivailleur, et vous prendrait en guignon.
"You mean beat us to a fare-thee-well!"	Une volée, voulez-vous dire ?
Once back at Sainte-Agathe everything would become clearer; he would no longer be a runaway schoolboy; he would once more be able to dream of the young mistress of the manor.	Une fois rentré à Sainte-Agathe, tout deviendrait plus clair ; il cesserait d’être un écolier évadé ; de nouveau il pourrait songer à la jeune châtelaine.
She was only of use to interrupt their private conversations, and had no right to live apart.	Elle n'était bonne qu'à rompre leur tête-à-tête, elle n'avait pas le droit de vivre à part.
"It is very hot," said Athos, drawing his sword in its turn, "and yet I cannot take off my doublet; for I just now felt my wound begin to bleed again, and I should not like to annoy Monsieur with the sight of blood which he has not drawn from me himself."	«Il fait très chaud, dit Athos en tirant son épée à son tour, et cependant je ne saurais ôter mon pourpoint; car, tout à l'heure encore, j'ai senti que ma blessure saignait, et je craindrais de gêner monsieur en lui montrant du sang qu'il ne m'aurait pas tiré lui-même.
Lastly, and above all, it was gratitude.	Enfin et par-dessus tout, c’était reconnaissance.
These were they that gave me the name of Moll Flanders; for it was no more of affinity with my real name or with any of the name I had ever gone by, than black is of kin to white, except that once, as before, I called myself Mrs. Flanders; when I sheltered myself in the Mint; but that these rogues never knew, nor could I ever learn how they came to give me the name, or what the occasion of it was.	Ce furent elles qui me donnèrent le nom de Moll Flanders, car il n'avait pas plus d'affinité avec mon véritable nom ou avec aucun des noms sous lesquels j'avais passé que le noir n'a de parenté avec le blanc, sinon qu'une fois, ainsi que je l'ai dit, je m'étais fait appeler Mme Flanders quand je m'étais réfugiée à la Monnaie; mais c'est ce que ces coquines ne surent jamais, et je ne pus pas apprendre davantage comment elles vinrent à me donner ce nom, ou à quelle occasion.
